Company,Position,Date Applied,Status,Job Nature,Job Type,Company Location,Job Link,Source / Portal,How Applied,Resume Version,Resume URL,Salary Min,Salary Max,Currency,Priority,Follow-up Date,Comments,Tags
LOVE & PHOTOS LLC,Full Stack Developer - Web,2026-08-27,APPLIED,PART_TIME,REMOTE,,,,,,,1000,1000,USD,3,,"Applied via Glassdoor Easy Apply. RED FLAG: company has a 1.0/5 Glassdoor rating (about as low as it gets) — worth researching before engaging further, especially for a small remote part-time contract where payment reliability matters. On the plus side, stack fits well: React, Supabase, Resend, Stripe (Stripe is a hard requirement, and you have real experience there from TaskHub/Care.io). 2 hrs/day Mon-Fri, 24hr bug-fix turnaround required. App questions: share a React project + confirm 24hr turnaround availability.",
ZHB Solutions,Full-Stack Software Engineer,2026-08-27,APPLIED,FULL_TIME,ONSITE,,,,,,,25000,45000,BDT,3,,"URGENT hiring, US-based company (cloud/insurance/real estate tech). Requires verifiable GitHub/portfolio links (applications without them may be rejected). Mon-Fri 12PM-9PM BD time. Note: stack is Java/Spring Boot/Angular, not your usual Next.js/React/Node — only PostgreSQL/TypeScript/Git/REST overlap. Heavy emphasis on AI-assisted dev workflow (ChatGPT/Claude/Copilot/Cursor).",
LYT Global (Projukti Team),Full-Stack Software Developer,2026-08-27,APPLIED,FULL_TIME,REMOTE,,,,,,,40000,50000,BDT,3,,"LYT Global (sister concern of Projukti Team) — UK-based multi-tenant SaaS for HR/payroll/accounting/compliance. Exact stack match: React, React Native, Node.js/Express, PostgreSQL, Prisma, Supabase, Stripe, TypeScript. Applied via email to info@lytmanager.com with CV, GitHub/portfolio, salary expectations, notice period. 2+ yrs exp required.",
Roaming Tours & Travels,Full Stack Developer - Next.js,2026-08-27,APPLIED,FULL_TIME,ONSITE,,,,,,,25000,35000,BDT,3,,"Applied via bdjobs.com. Travel tech platform (B2B/B2C booking systems, flight/hotel search, dashboards). Requires practical technical assessment (React.js, Next.js, API integration, state management). 1-3 yrs exp, age 20-30, male only per posting. Application deadline 17 Sep 2026.",
Gigalogy Ltd.,Full-Stack Frontend Engineer,2026-08-26,APPLIED,FULL_TIME,HYBRID,"Mirpur DOHS, Dhaka",,,,,,50000,100000,BDT,3,,"Requires 3+ years JavaScript, Vue.js or modern frameworks, REST APIs/OAuth 2.0/JWT, Node.js/Python API integration, AWS/GCP/Docker/Git a plus. Hybrid, Mirpur DOHS Dhaka, Sun-Thu 9AM-6PM. Benefits: salary review + performance bonus twice/year, health insurance, free meals/snacks. Applied via link s.gigalogy.com/dMoxtHb.",
Smartsheet,Software Engineer II - Full Stack,2026-08-25,APPLIED,,REMOTE,,https://to.indeed.com/aamqymjbgcc4,,,,,,,USD,3,,,
Kimara Coast,Junior Software Engineer,2026-08-25,APPLIED,PART_TIME,REMOTE,,https://to.indeed.com/aaqtndrxct6w,,,,,,,USD,3,,,
sentin GmbH,Full Stack Developer | Focus on Frontend,2026-08-25,APPLIED,FULL_TIME,REMOTE,,https://to.indeed.com/aas4zqbqmbcc,,,,,,,USD,3,,,
Queer Men of the Berkshires,Web Developer,2026-08-25,APPLIED,CONTRACT,REMOTE,,https://to.indeed.com/aazmj6nc9mps,,,,,,,USD,3,,,
Cyber Search SEO LLC,Web Developer,2026-08-25,APPLIED,PART_TIME,REMOTE,,https://to.indeed.com/aay87wygs6ky,,,,,,,USD,3,,,
Brandsquare Limited,Product Department Position,2026-08-25,OA_ASSESSMENT,,,,,,,,,,,USD,3,,"Applied for Product Department position. Shortlisted for assessment stage — email received from Sayeda Mehnaz Hossain, People Department. Instructed to activate Talent Portal account, complete profile, and prepare for a proctored online assessment (webcam/mic required).",
iHook Web Solutions,MERN Stack Developer,2026-08-24,APPLIED,FULL_TIME,REMOTE,,,,,,,,,USD,3,,"Full-time role for Karaz Platform's HealthTech app (CGM/diabetes management). Remote. Requires React, HTML5/CSS3/JS, Git, modern workflows. Applied via LinkedIn post from recruiter (Mr Mozzammel Ridoy). Also has openings for Laravel, AI/ML, Python devs at same recruiter. Note: this looks like the same recruiter/agency pattern as Vivansh Infotech post.",
Vivansh Infotech,React JS Developer,2026-08-24,APPLIED,FULL_TIME,ONSITE,"Ahmedabad, India",,,,,,,,USD,3,,"LinkedIn post from Vivansh Infotech. Openings: Laravel Developer (1-5 yrs), AI/ML Developer (1-3 yrs), Python Developer (3-5 yrs), React JS Developer (1-3 yrs). Required education: B.E./B.Tech (CE/IT). Applied for React JS Developer role via resume sent to careers@vivanshinfotech.com. Work from office, Ahmedabad.",
Karaz Platform,Frontend Developer (Next.js) – Junior to Senior,2026-08-24,APPLIED,FULL_TIME,REMOTE,,https://karaz.zohorecruit.com/jobs/Careers/820906000000532389/Frontend-Developer-Next-js-Junior-to-Senior?source=CareerSite,,,,,,,USD,3,,"HealthTech (CGM/diabetes management platform), Riyadh-based company, fully remote/work-from-anywhere. Listed as requiring 5+ years experience, but role explicitly framed as ""Junior to Senior"" scaling with experience. Exact stack match: Next.js, React, TypeScript, Tailwind CSS.",
Paragon,Full Stack Software Developer (Junior/Developer),2026-08-24,APPLIED,FULL_TIME,ONSITE,,,,,,,20000,30000,BDT,3,,"Applied via email (CV + picture) to md.salman@paragon.com.bd. 1-2 yrs exp required, CSE/SE degree. Benefits: yearly salary review, mobile bill, earn/casual/sick leave, gratuity, 2 festival bonuses, weekly 2 holidays.",
TalentSam (via Simera),Front-End Developer,2026-08-23,APPLIED,FULL_TIME,REMOTE,Remote (Bolivia + others),,,,,,,,USD,3,,"Remote position (Bolivia + others listed). Requires HTML5/CSS3/JS/TypeScript, React/Angular/Vue, responsive design, WCAG accessibility, REST API integration, Git/GitHub, Tailwind/Bootstrap/Material UI. Applying creates a ""Simera Professional Key"" (SPK) for employer matching. Apply via TalentSam or Indeed.",
iQDigital,Full-Stack AI Engineer,2026-08-23,APPLIED,INTERNSHIP,REMOTE,,,,,,,,100000,USD,3,,"Remote internship. iQDigital builds AI-powered software (web platforms, mobile apps + infra), live products with a growing user base and revenue. Small, fast-moving team. Compensation listed up to $100,000/year; benefits include PTO, employee discount, flexible spending account, flexible schedule.",
"Unnamed Startup (Remote, AEST hours)",Full Stack Developer (React.js + Node.js),2026-08-23,APPLIED,FULL_TIME,REMOTE,Remote (AEST hours),,,,,,,,USD,3,,"Remote, startup environment. Work roster 10AM-6PM AEST, weekends Sat/Sun. Stack: React.js/Next.js frontend, Node.js/Express backend, Supabase/Postgres, Stripe payments, Redis caching, Vercel deployment. Also wants AI agent dev experience (OpenAI/Claude/Vercel AI SDK, tool-calling) and test automation (Playwright/Cypress/Selenium) as a plus. Strong overlap with my Supabase/Prisma/Next.js/Stripe experience.",
Yokly,Remote Full Stack Developer,2026-08-23,APPLIED,FULL_TIME,REMOTE,"Leyte, PH",,,,,,25000,30000,PHP,3,,"Remote, any location. Listed salary range ₱25,000–₱30,000/month (PHP) but application form asks for desired salary in USD/yearly. Application via Breezy ATS.",
Zoftify Eesti OÜ,Frontend Developer (React),2026-08-23,APPLIED,FULL_TIME,REMOTE,,,,,,,,,USD,3,,"Digital product agency, mostly travel industry clients (Germany, Switzerland, UK, US). Requires React.js, TypeScript, REST API experience, building apps from scratch, pixel-perfect implementation from Figma. Next.js/Tailwind CSS as advantage. 2+ years commercial experience required. Fully remote, flexible hours, competitive salary based on experience.",
